Source:,http://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/Search Records.csv,,,,,,,,,,,,,,,,
Hazard ID,File ID,Archived Record Key,LUST Event ID,CS or LUST,Site Name,Address,City,Borough,State,Zip Code,Status,Staff,Landowner,Site Type,Latitude,Longitude,Horizontal Datum
23972,2100.26.506,1.99221E+12,341,LUST,AIA Tank #10- DOT&PF,5000 Aircraft Dr.; ,Anchorage,Anchorage,AK,99519,Cleanup Complete, No Longer Assigned,State of Alaska -DOTPF Anchorage International Air,Airport/Airfield,61.173248,-149.98141,NAD83
24056,2100.26.036.19,1.99221E+12,1552,LUST,Lake Hood Tie Down 68,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,State of Alaska -DOTPF Anchorage International Air,Airport/Airfield,61.18478,-149.975079,
24066,2100.26.036.19,1.99221E+12,1465,LUST,Lake Hood Tie Down 157,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,John E. Hepler,Airport/Airfield,61.181091,-149.948118,
24084,2100.26.036.19,1.99221E+12,1477,LUST,Lake Hood Tie Down 410,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,Tom Culhane,Airport/Airfield,61.182286,-149.956793,
24100,2100.26.036.19,1.99221E+12,1484,LUST,Lake Hood Tie Down 525,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,"Alaska Fliers,richard R. Lounsbury",Airport/Airfield,61.181328,-149.960802,
24114,2100.26.036.19,1.99221E+12,1491,LUST,Lake Hood Tie Down 713,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,C. Vernon Humble,Airport/Airfield,61.183322,-149.963311,
24154,100.26.008,1.98931E+12,912,LUST,FIA - Friendship Air,"FIA, Lot 1, Block 101; ",Fairbanks,Fairbanks North Star,AK,99709,Cleanup Complete, No Longer Assigned,State of Alaska - ADOTPF DES-Design / Engineering Svcs,Airport/Airfield,64.81106,-147.84665,
24159,2100.26.036.19,1.99221E+12,1460,LUST,Lake Hood Tie Down 111,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,"Alaska Lands, Inc.",Airport/Airfield,61.176304,-149.951137,
24165,110.26.001,1.98931E+12,919,LUST,"FAA Nenana Julius ""H""","ANSW 149; Former ""H"" Marker ~ one mile S of Nenana",Nenana,Yukon Koyukuk,AK,99760,Cleanup Complete, No Longer Assigned,Federal Aviation Administration,Airport/Airfield,64.51118,-149.04125,NAD83
24216,2100.26.036.19,1.99221E+12,1488,LUST,Lake Hood Tie Down 622,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,David R. Dahlke,Airport/Airfield,61.181958,-149.96253,
